Date,value
"January 1, 2020",71.165
"January 2, 2020",71.348
"January 3, 2020",71.754
"January 4, 2020",71.761
"January 5, 2020",71.761
"January 6, 2020",71.871
"January 7, 2020",71.831
"January 8, 2020",71.37
"January 9, 2020",71.153
"January 10, 2020",70.938
"January 11, 2020",70.991
"January 12, 2020",70.989
"January 13, 2020",70.753
"January 14, 2020",70.853
"January 15, 2020",70.725
"January 16, 2020",70.971
"January 17, 2020",71.096
"January 18, 2020",71.044
"January 19, 2020",71.044
"January 20, 2020",71.013
"January 21, 2020",71.17
"January 22, 2020",71.102
"January 23, 2020",71.45
"January 24, 2020",71.303
"January 25, 2020",71.326
"January 26, 2020",71.326
"January 27, 2020",71.455
"January 28, 2020",71.218
"January 29, 2020",71.37
"January 30, 2020",71.558
"January 31, 2020",71.5
"February 1, 2020",71.499
"February 2, 2020",71.499
"February 3, 2020",71.35
"February 4, 2020",71.11
"February 5, 2020",71.189
"February 6, 2020",71.219
"February 7, 2020",71.492
"February 8, 2020",71.516
"February 9, 2020",71.516
"February 10, 2020",71.285
"February 11, 2020",71.269
"February 12, 2020",71.311
"February 13, 2020",71.275
"February 14, 2020",71.501
"February 15, 2020",71.527
"February 16, 2020",71.527
"February 17, 2020",71.351
"February 18, 2020",71.54
"February 19, 2020",71.587
"February 20, 2020",71.917
"February 21, 2020",71.833
"February 22, 2020",71.888
"February 23, 2020",71.888
"February 24, 2020",72.098
"February 25, 2020",71.823
"February 26, 2020",71.6
"February 27, 2020",71.645
"February 28, 2020",72.505
"February 29, 2020",72.175
"March 1, 2020",72.175
"March 2, 2020",72.73
"March 3, 2020",72.96
"March 4, 2020",73.575
"March 5, 2020",73.635
"March 6, 2020",74.225
"March 7, 2020",74.005
"March 8, 2020",74.005
"March 9, 2020",74.385
"March 10, 2020",73.878
"March 11, 2020",74.085
"March 12, 2020",74.605
"March 13, 2020",74.01
"March 14, 2020",73.959
"March 15, 2020",73.959
"March 16, 2020",74.063
"March 17, 2020",74.18
"March 18, 2020",75.09
"March 19, 2020",74.8
"March 20, 2020",75.475
"March 21, 2020",75.623
"March 22, 2020",75.623
"March 23, 2020",76.413
"March 24, 2020",76.075
"March 25, 2020",75.975
"March 26, 2020",74.858
"March 27, 2020",75.07
"March 28, 2020",74.876
"March 29, 2020",75.472
"March 30, 2020",75.355
"March 31, 2020",75.445
"April 1, 2020",76.59
"April 2, 2020",76.173
"April 3, 2020",76.388
"April 5, 2020",76.419
"April 6, 2020",75.943
"April 7, 2020",75.533
"April 8, 2020",75.885
"April 9, 2020",75.888
"April 10, 2020",76.148
"April 11, 2020",76.177
"April 12, 2020",76.177
"April 13, 2020",76.343
"April 14, 2020",75.98
"April 15, 2020",76.523
"April 16, 2020",76.805
"April 17, 2020",76.585
"April 18, 2020",76.501
"April 19, 2020",76.501
"April 20, 2020",76.61
"April 21, 2020",77.051
"April 22, 2020",76.447
"April 23, 2020",75.953
"April 24, 2020",76.42
"April 25, 2020",76.302
"April 26, 2020",76.282
"April 27, 2020",76.198
